Any,Salari,Index
11/2006,"19.680,88",81455
11/2007,"20.390,35",84770
11/2008,"21.883,42",86790
11/2009,"22.511,47",87053
11/2010,"22.790,20",89084
11/2011,"22.899,35",91643
11/2012,"22.726,44",94328
11/2013,"22.697,86",94547
11/2014,"22.858,17",94195
11/2015,"23.106,30",93937
11/2016,"23.156,34",94572
11/2017,"23.646,50",96147
11/2018,"24.009,12",97768
11/2019,"24.395,98",98167
11/2020,"25.165,51",97367
11/2021,"25.896,82",102738
11/2022,"25.540,44",109734
11/2023,,113280
12/2002,,72409
12/2003,,74294
12/2004,"18.310,11",76692
12/2005,"18.676,92",79557
12/2006,"19.680,88",81678
12/2007,"20.390,35",85125
12/2008,"21.883,42",86345
12/2009,"22.511,47",87031
12/2010,"22.790,20",89631
12/2011,"22.899,35",91762
12/2012,"22.726,44",94394
12/2013,"22.697,86",94632
12/2014,"22.858,17",93646
12/2015,"23.106,30",93663
12/2016,"23.156,34",95132
12/2017,"23.646,50",96190
12/2018,"24.009,12",97329
12/2019,"24.395,98",98096
12/2020,"25.165,51",97574
12/2021,"25.896,82",103965
12/2022,"25.540,44",109899
12/2023,,113308
,,Unitats: Índex (Base 2021 = 100).
,,Font: INE.
,,"Nota: Entre el 14 de març i el 21 de juny del 2020 està vigent el Reial decret 463/2020, de 14 de març, pel qual es declara l'estat d'alarma per a la gestió de la situació de crisi sanitària ocasionada per la covid-19."
