Any,Variacio_Salari,Variacio_Index
2002-01-01,,
2003-01-01,,4.1443609022556505
2004-01-01,,2.7954256670902122
2005-01-01,,3.604337566018656
2006-01-01,,4.5879768974212976
2007-01-01,,2.4085452801327456
2008-01-01,,4.387341772151898
2009-01-01,,1.0962093468823708
2010-01-01,,1.360201511335002
2011-01-01,,3.2886017229953657
2012-01-01,,2.2375491218221244
2013-01-01,,3.339459411000023
2014-01-01,,0.29062201787108943
2015-01-01,,-0.9374594524458213
2016-01-01,26.467508933589134,-0.036019516028684695
2017-01-01,26.608134531817896,3.1053459119496862
2018-01-01,21.99210604403867,0.8599144321599583
2019-01-01,19.644733905989842,1.0394792104158057
2020-01-01,11.78874234466094,1.1888184557830028
2021-01-01,11.207308985152897,0.4261917965781459
2022-01-01,12.067643109757697,5.874893904222356
2023-01-01,11.53504357110573,5.34510402379893
2024-01-01,12.383637736486675,3.330949499394875
2002-02-01,12.525145542355087,-40.952609116156914
2003-02-01,11.735978864449791,4.3202548574691635
2004-02-01,-20.75706625465782,2.5568263662815838
2005-02-01,-19.344248702515177,3.792294619155312
2006-02-01,-16.770431142029473,4.295167598143346
2007-02-01,-15.072480790632891,2.508076967990558
2008-02-01,-10.299073863808717,4.445344539516993
2009-02-01,-7.978228522842468,1.0458577730379615
2010-02-01,-8.964464896302694,1.1525683925208918
2011-02-01,-10.340816368081363,3.618686269860083
2012-02-01,-11.0190753617741,2.239335408275367
2013-02-01,-11.130974754118894,3.3038981969579995
2014-02-01,-10.50331234730314,0.22534967118448268
2015-02-01,-9.531807930840063,-0.78154557934903
2016-02-01,26.467508933589134,-0.5077026997581391
2017-02-01,26.608134531817896,3.1022777047744254
2018-02-01,21.99210604403867,1.3541788365744933
2019-02-01,19.644733905989842,1.122312109653345
2020-02-01,11.78874234466094,0.8435320573270344
2021-02-01,15.03833379161823,-0.08734701427354219
2022-02-01,12.067643109757697,7.372361871065958
2023-02-01,11.53504357110573,5.550021073604339
2024-02-01,12.383637736486675,2.65904347036936
2002-03-01,12.525145542355087,-40.68776520509194
2003-03-01,11.735978864449791,4.192625272006434
2004-03-01,-20.75706625465782,2.5176305663238363
2005-03-01,-19.344248702515177,3.9585862391337656
2006-03-01,-16.770431142029473,4.041393750671096
2007-03-01,-15.072480790632891,2.6962523382571213
2008-03-01,-10.299073863808717,4.519816594435011
2009-03-01,-7.978228522842468,0.3605639219739665
2010-03-01,-11.996144700391786,1.747242614037825
2011-03-01,-10.340816368081363,3.527459334761418
2012-03-01,-11.0190753617741,2.2351322775383986
2013-03-01,-11.130974754118894,2.9624687239366176
2014-03-01,-10.50331234730314,0.07452289148819347
2015-03-01,-9.531807930840063,-0.2870772086598139
2016-03-01,26.467508933589134,-0.596371980258037
2017-03-01,26.608134531817896,2.509772323907633
2018-03-01,21.99210604403867,1.4806789454676839
2019-03-01,19.644733905989842,1.359639941385793
2020-03-01,11.78874234466094,0.013424343497980828
2021-03-01,11.207308985152897,1.2627514145293839
2022-03-01,12.067643109757697,9.490695895997959
2023-03-01,11.53504357110573,3.0805621001462224
2002-04-01,12.383637736486675,-38.58308263544461
2003-04-01,12.525145542355087,3.6876866275392217
2004-04-01,-19.896868384476964,3.0855440488012587
2005-04-01,-19.169577128315662,4.0046790063992255
2006-04-01,-15.008675809735038,3.989414488918297
2007-04-01,-13.770113970355025,2.6720956864741074
2008-04-01,-8.853718920143683,4.126905440575035
2009-04-01,-7.724674311095514,0.40942632706499893
2010-04-01,-6.838843650871517,1.714001232753315
2011-04-01,-8.528464832390636,3.789768092296919
2012-04-01,-11.01782114951818,2.4230311468415255
2013-04-01,-11.130974754118894,1.8230651172988388
2014-04-01,-10.50331234730314,0.6739661724965762
2015-04-01,-9.531807930840063,-0.2983670021067475
2016-04-01,26.467508933589134,-0.8001716185777163
2017-04-01,26.608134531817896,2.7615587561091726
2018-04-01,21.99210604403867,1.2268776699846384
2019-04-01,19.644733905989842,1.6943162446467985
2020-04-01,11.78874234466094,-0.7134534006582705
2021-04-01,11.207308985152897,2.045585570746189
2022-04-01,12.067643109757697,7.964851749846136
2023-04-01,11.53504357110573,3.9133603692836694
2002-05-01,12.383637736486675,-38.65348991960865
2003-05-01,12.525145542355087,3.1471247856231788
2004-05-01,-19.896868384476964,3.871077762619368
2005-05-01,-19.169577128315662,3.648826136923322
2006-05-01,-15.008675809735038,4.143402104040428
2007-05-01,-13.770113970355025,2.6109660574412663
2008-05-01,-8.853718920143683,4.534449961708553
2009-05-01,-7.724674311095514,-0.3072232922520679
2010-05-01,-6.838843650871517,1.9758442081807326
2011-05-01,-8.528464832390636,3.533404621321301
2012-05-01,-11.01782114951818,2.2609906147559533
2013-05-01,-11.130974754118894,2.235152047425615
2014-05-01,-10.50331234730314,0.4778472177479953
2015-05-01,-9.531807930840063,0.1282448621902077
2016-05-01,26.467508933589134,-0.7418001729088242
2017-05-01,26.608134531817896,2.1258978880812185
2018-05-01,21.99210604403867,2.25643077506239
2019-05-01,19.644733905989842,0.9699740516495803
2020-05-01,11.78874234466094,-0.9718737889820361
2021-05-01,11.207308985152897,2.5765923484887487
2022-05-01,12.067643109757697,8.215286074271887
2023-05-01,11.53504357110573,3.200667965488435
2002-06-01,12.383637736486675,-38.58683926645091
2003-06-01,12.525145542355087,3.142748404473328
2004-06-01,-19.896868384476964,3.9453330116514973
2005-06-01,-19.169577128315662,3.73004928798657
2006-06-01,-15.008675809735038,4.100032905561046
2007-06-01,-13.770113970355025,2.6589960804147106
2008-06-01,-8.853718920143683,4.919143275898175
